image_name,iou_score
scab_6.jpg,0.0125
rust_17.jpg,0.0988
scab_4.jpg,0.3102
healthy_6.jpg,0.1205
scab_3.jpg,0.066
rust_14.jpg,0.019
healthy_4.jpg,0.0715
scab_20.jpg,0.1826
scab_5.jpg,0.0802
healthy_9.jpg,0.0946
scab_18.jpg,0.058
rust_12.jpg,0.1549
healthy_5.jpg,0.0956
scab_13.jpg,0.1847
scab_1.jpg,0.0403
healthy_11.jpg,0.0465
healthy_20.jpg,0.0226
healthy_17.jpg,0.0403
rust_13.jpg,0.0449
healthy_1.jpg,0.0295
rust_9.jpg,0.1316
scab_19.jpg,0.0889
rust_7.jpg,0.0604
rust_16.jpg,0.091
rust_5.jpg,0.0107
scab_17.jpg,0.0546
scab_9.jpg,0.1158
rust_4.jpg,0.1056
healthy_15.jpg,0.0209
rust_6.jpg,0.0613
rust_2.jpg,0.0316
healthy_14.jpg,0.123
healthy_3.jpg,0.0075
healthy_10.jpg,0.0367
rust_19.jpg,0.1064
scab_2.jpg,0.037
scab_7.jpg,0.019
rust_15.jpg,0.0816
rust_11.jpg,0.0481
rust_20.jpg,0.0032
rust_3.jpg,0.0483
healthy_12.jpg,0.2124
healthy_7.jpg,0.0767
scab_8.jpg,0.255
scab_10.jpg,0.0432
rust_1.jpg,0.115
rust_10.jpg,0.1227
healthy_8.jpg,0.061
healthy_18.jpg,0.0186
healthy_2.jpg,0.0342
scab_11.jpg,0.1195
healthy_13.jpg,0.0362
healthy_19.jpg,0.0555
rust_18.jpg,0.0595
rust_8.jpg,0.004
scab_14.jpg,0.2589
scab_15.jpg,0.0732
scab_12.jpg,0.1379
scab_16.jpg,0.0685
healthy_16.jpg,0.132
